CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
DY,4545,NORWEGIAN AIR SHUTTLE ASA,2018-12-06T17:10:00,2018-12-06T17:33:00,A,ARN,STOCKHOLM-ARLANDA,שטוקהולם,STOCKHOLM,שבדיה,SWEDEN,3,,,LANDED,נחתה
EZY,5832,EASYJET,2018-12-06T16:50:00,2018-12-06T17:35:00,D,TXL,BERLIN TEGEL,ברלין,BERLIN,גרמניה,GERMANY,1,314-320,W,DEPARTED,המריאה
AA,8394,AMERICAN AIRLINES,2018-12-06T17:40:00,2018-12-06T17:37:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
LX,4220,SWISS INT`L  AIRLINES,2018-12-06T17:40:00,2018-12-06T17:37:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
LY,348,EL AL ISRAEL AIRLINES,2018-12-06T17:40:00,2018-12-06T17:37:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
TP,8931,AIR PORTUGAL - TAP,2018-12-06T17:40:00,2018-12-06T17:37:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
LX,253,SWISS INT`L  AIRLINES,2018-12-06T16:00:00,2018-12-06T17:39:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,45-55,B,DEPARTED,המריאה
AM,7851,AERO MEXICO,2018-12-06T16:15:00,2018-12-06T17:41:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
LY,339,EL AL ISRAEL AIRLINES,2018-12-06T16:15:00,2018-12-06T17:41:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,78-99,D,DEPARTED,המריאה
PC,796,PEGASUS AIRLINES,2018-12-06T15:50:00,2018-12-06T17:43:00,D,SAW,ISTANBUL-SABIHA GOKCHEN,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,30-33,A,DEPARTED,המריאה
OS,858,AUSTRIAN AIRLINES,2018-12-06T16:10:00,2018-12-06T17:46:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,45-55,B,DEPARTED,המריאה
SN,3290,BRUSSELS AIRLINES,2018-12-06T16:00:00,2018-12-06T17:47:00,D,BRU,BRUSSELS,בריסל,BRUSSELS,בלגיה,BELGIUM,3,72-75,C,DEPARTED,המריאה
6H,813,ISRAIR AIRLINES,2018-12-06T16:10:00,2018-12-06T17:50:00,D,AER,SOCHI,סוצ'י,SOCHI,רוסיה,RUSSIAN FEDERATION,3,G16-G18,G,DEPARTED,המריאה
