name of city heb,city eng,street heb,,
??? ?'?????? (???)  ,ABU JUWEI'ID             ,??? ?'?????? (???),,
,,,,
??? ???             ,ABU GHOSH                ,??? ???,,
??? ???             ,ABU GHOSH                ,?? ????,,
??? ???             ,ABU GHOSH                ,??-????',,
??? ???             ,ABU GHOSH                ,????? ???,,
??? ???             ,ABU GHOSH                ,??? ???,,
??? ???             ,ABU GHOSH                ,?'??,,
??? ???             ,ABU GHOSH                ,???? ???????,,
??? ???             ,ABU GHOSH                ,????,,
??? ???             ,ABU GHOSH                ,??? ????,,
??? ???             ,ABU GHOSH                ,??? ?????,,
??? ???             ,ABU GHOSH                ,??? ???? ?????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,???????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,????????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,?????????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,?????? ?????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,????????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,?????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,??????,,
??? ???             ,ABU GHOSH                ,????,,
??? ???             ,ABU GHOSH                ,????,,
??? ???             ,ABU GHOSH                ,???' ??????,,
??? ???             ,ABU GHOSH                ,??' ????,,
